ID_meta_hmfSampleId;aneuploidy_score
HMF003422A;27
HMF003427A;22
HMF003429A;14
HMF003438A;13
HMF003443A;24
HMF003446A;25
HMF003447A;26
HMF003448A;14
HMF003449A;24
HMF003450A;21
HMF003453A;16
HMF003456A;9
HMF003459A;24
HMF003460A;25
HMF003464A;7
HMF003471A;19
HMF003473A;15
HMF003477A;28
HMF003479A;20
HMF003498A;22
HMF003502A;11
HMF003507A;8
HMF003509A;25
HMF003510A;24
HMF003511A;24
HMF003513A;7
HMF003518A;21
HMF003519A;27
HMF003527A;20
HMF003528A;26
HMF003531A;7
HMF003533B;13
HMF003545A;4
HMF003562A;10
HMF003563A;22
HMF003568A;18
HMF003573A;24
HMF003581A;25
HMF003586A;21
HMF003599A;29
HMF003614A;10
HMF003625A;10
HMF003626A;27
HMF003645A;14
HMF003665A;25
HMF003666A;20
HMF003670A;11
HMF003676A;15
HMF003677A;18
HMF003678A;15
HMF003684A;9
HMF003691A;19
HMF003701A;24
HMF003703A;9
HMF003712A;14
HMF003720B;23
HMF003726A;26
HMF003730A;13
HMF003738A;16
HMF003745A;19
HMF003753A;30
HMF003754A;15
HMF003771A;16
HMF003780A;11
HMF003783A;13
HMF003792A;12
HMF003796A;21
HMF003800A;24
HMF003802A;8
HMF003804A;14
HMF003808A;13
HMF003810A;12
HMF003817A;12
HMF003825A;23
HMF003837A;13
HMF003839B;5
HMF003847A;21
HMF003849A;13
HMF003850A;11
HMF003851A;7
HMF003861A;26
HMF003871A;16
HMF003882A;8
HMF003921A;15
HMF003928A;16
HMF003935A;26
HMF003938A;13
HMF003951A;23
HMF003956A;6
HMF003968A;17
HMF003975A;20
HMF003981A;23
HMF003988A;18
HMF003992A;22
HMF003997A;8
HMF004004A;16
HMF004006A;24
HMF004010A;10
HMF004012A;7
HMF004023A;26
HMF004030A;27
HMF004035A;11
HMF004037A;11
HMF004039A;26
HMF004042A;19
HMF004046A;17
HMF004062A;12
HMF004071A;23
HMF004072A;16
HMF004075A;27
HMF004078A;28
HMF004081A;6
HMF004090A;7
HMF004094A;10
HMF004098A;27
HMF004101A;17
HMF004104A;22
HMF004116A;19
HMF004121A;11
HMF004127A;17
HMF004129A;18
HMF004131A;28
HMF004135A;8
HMF004136A;11
HMF004157A;22
HMF004163A;9
HMF004170A;27
HMF004172A;13
HMF004174A;18
HMF004214A;12
HMF004215A;22
HMF004227A;28
HMF004232A;13
HMF004244B;11
HMF004268A;27
HMF004276A;16
HMF004277A;14
HMF004286A;15
HMF004287A;6
HMF004313A;20
HMF004315A;11
HMF004321A;25
HMF004323A;27
HMF004333A;22
HMF004338A;22
HMF004341A;27
HMF004364A;25
HMF004366A;10
HMF004381A;21
HMF004386A;19
HMF004416A;20
HMF004429A;11
HMF004436A;15
HMF004453A;10
HMF004454A;26
HMF004462A;23
HMF004471A;24
HMF004476A;23
HMF004514A;21
HMF004515A;8
HMF004516A;9
HMF004517A;28
HMF004525A;4
HMF004530A;24
HMF004538A;9
HMF004540A;24
HMF004543A;19
HMF004547A;28
HMF004550A;16
HMF004563A;22
HMF004564A;22
HMF004586A;13
HMF004600A;26
HMF004614A;13
HMF004644A;13
HMF004645A;8
HMF004648A;10
HMF004657A;25
HMF004663A;19
HMF004666A;12
HMF004670A;28
HMF004675A;22
HMF004683A;20
HMF004685A;25
HMF004695A;20
HMF004700A;2
HMF004714A;20
HMF004716A;23
